date,MACD
2020-02-18,6.4810
2020-02-14,6.5447
2020-02-13,6.7706
2020-02-12,6.9777
2020-02-11,6.8861
2020-02-10,6.1527
2020-02-07,5.8470
2020-02-06,5.4466
2020-02-05,5.0472
2020-02-04,4.1525
2020-02-03,3.6516
2020-01-31,3.6424
2020-01-30,3.3964
2020-01-29,2.8458
2020-01-28,2.7338
2020-01-27,2.9645
2020-01-24,3.4836
2020-01-23,3.4480
2020-01-22,3.4868
2020-01-21,3.3623
2020-01-17,3.2279
2020-01-16,2.9340
2020-01-15,2.8288
2020-01-14,2.8295
2020-01-13,2.7109
2020-01-10,2.6860
2020-01-09,2.5069
2020-01-08,2.3425
2020-01-07,2.3943
2020-01-06,2.3859
2020-01-03,2.5686
2020-01-02,2.6382
2019-12-31,2.6418
2019-12-30,2.8125
2019-12-27,2.7639
2019-12-26,2.6145
2019-12-24,2.5791
2019-12-23,2.5036
2019-12-20,2.3057
2019-12-19,2.0980
2019-12-18,2.1434
2019-12-17,2.1397
2019-12-16,1.9867
2019-12-13,1.7971
2019-12-12,1.7326
2019-12-11,1.7738
2019-12-10,1.8118
2019-12-09,1.8593
2019-12-06,1.9154
2019-12-05,1.9672
2019-12-04,2.1005
2019-12-03,2.2309
2019-12-02,2.6346
2019-11-29,2.6718
2019-11-27,2.6509
2019-11-26,2.5622
2019-11-25,2.5105
2019-11-22,2.5464
2019-11-21,2.5481
2019-11-20,2.5815
2019-11-19,2.4938
2019-11-18,2.2876
2019-11-15,2.0737
2019-11-14,1.8865
2019-11-13,1.8146
2019-11-12,1.7250
2019-11-11,1.6324
2019-11-08,1.5861
2019-11-07,1.6424
2019-11-06,1.7047
2019-11-05,1.7054
2019-11-04,1.6204
2019-11-01,1.5026
2019-10-31,1.3884
2019-10-30,1.1573
2019-10-29,0.9861
2019-10-28,0.6961
2019-10-25,0.2833
2019-10-24,0.2675
2019-10-23,0.2383
2019-10-22,0.4531
2019-10-21,0.5080
2019-10-18,0.6236
2019-10-17,0.6286
2019-10-16,0.5048
2019-10-15,0.3556
2019-10-14,0.2344
2019-10-11,0.1140
2019-10-10,-0.0852
2019-10-09,-0.1722
2019-10-08,-0.1758
2019-10-07,-0.1393
2019-10-04,-0.0966
2019-10-03,-0.0012
2019-10-02,0.3040
2019-10-01,0.5568
2019-09-30,0.5240
2019-09-27,0.6386
2019-09-26,0.5617
2019-09-25,0.5276
2019-09-24,0.6740
2019-09-23,0.5598
2019-09-20,0.5211
2019-09-19,0.2827
2019-09-18,0.0467
2019-09-17,0.0441
2019-09-16,0.0809
2019-09-13,0.2418
2019-09-12,0.2450
2019-09-11,0.2385
2019-09-10,0.4242
2019-09-09,0.5644
2019-09-06,0.4511
2019-09-05,0.2551
2019-09-04,0.0950
2019-09-03,0.0734
2019-08-30,0.1151
2019-08-29,-0.0919
2019-08-28,-0.1614
2019-08-27,-0.0064
2019-08-26,0.0377
2019-08-23,0.2360
2019-08-22,0.2617
2019-08-21,0.1411
2019-08-20,-0.0038
2019-08-19,-0.1540
2019-08-16,-0.3074
2019-08-15,-0.1957
2019-08-14,-0.0005
2019-08-13,0.0481
2019-08-12,0.1410
2019-08-09,0.1537
2019-08-08,0.0109
2019-08-07,0.0331
2019-08-06,0.3470
2019-08-05,0.7416
2019-08-02,1.2854
2019-08-01,1.4731
2019-07-31,1.8022
2019-07-30,1.8570
2019-07-29,1.9193
2019-07-26,1.8324
2019-07-25,1.8099
2019-07-24,1.7488
2019-07-23,1.8011
2019-07-22,1.7540
2019-07-19,1.9078
2019-07-18,1.7901
2019-07-17,2.0894
2019-07-16,2.2221
2019-07-15,2.2309
2019-07-12,2.1608
2019-07-11,2.0999
2019-07-10,2.0579
2019-07-09,2.0833
2019-07-08,2.2004
2019-07-05,2.2772
2019-07-03,2.3888
2019-07-02,2.4091
2019-07-01,2.4691
2019-06-28,2.4579
2019-06-27,2.6176
2019-06-26,2.8271
2019-06-25,3.0320
2019-06-24,2.9542
2019-06-21,2.8374
2019-06-20,2.6898
2019-06-19,2.3736
2019-06-18,2.1850
2019-06-17,1.9950
2019-06-14,1.8823
2019-06-13,1.7487
2019-06-12,1.5813
2019-06-11,1.4037
2019-06-10,0.9041
2019-06-07,0.4040
2019-06-06,0.0865
2019-06-05,-0.0399
2019-06-04,-0.0489
2019-06-03,0.3139
2019-05-31,0.5108
2019-05-30,0.7159
2019-05-29,0.8625
2019-05-28,1.0248
2019-05-24,1.0541
2019-05-23,1.0833
2019-05-22,1.1772
2019-05-21,1.2371
2019-05-20,1.2131
2019-05-17,1.2574
2019-05-16,1.1140
2019-05-15,1.0731
2019-05-14,1.2588
2019-05-13,1.5172
2019-05-10,1.8005
2019-05-09,2.0545
2019-05-08,2.4119
2019-05-07,2.7159
2019-05-06,2.9605
2019-05-03,3.2369
2019-05-02,3.4437
2019-05-01,3.5945
2019-04-30,3.4751
2019-04-29,3.3454
2019-04-26,3.1221
2019-04-25,2.8119
2019-04-24,2.3386
2019-04-23,2.1351
2019-04-22,2.0164
2019-04-18,1.9863
2019-04-17,1.9628
2019-04-16,2.0009
2019-04-15,1.9798
2019-04-12,1.9953
2019-04-11,2.0166
2019-04-10,2.0246
2019-04-09,2.0848
2019-04-08,2.2463
2019-04-05,2.2997
2019-04-04,2.3772
2019-04-03,2.3692
2019-04-02,2.3489
2019-04-01,2.3704
2019-03-29,2.3745
2019-03-28,2.4348
2019-03-27,2.5406
2019-03-26,2.5942
2019-03-25,2.5492
2019-03-22,2.6643
2019-03-21,2.4732
2019-03-20,2.4340
2019-03-19,2.3227
2019-03-18,2.0756
2019-03-15,1.9255
2019-03-14,1.7903
2019-03-13,1.6733
2019-03-12,1.5413
2019-03-11,1.4838
2019-03-08,1.5751
2019-03-07,1.8551
2019-03-06,1.9574
2019-03-05,2.0117
2019-03-04,2.0130
2019-03-01,1.9070
2019-02-28,1.7572
2019-02-27,1.6270
2019-02-26,1.4728
2019-02-25,1.2983
2019-02-22,1.0059
2019-02-21,0.7920
2019-02-20,0.8283
2019-02-19,0.7648
2019-02-15,0.6797
2019-02-14,0.5491
2019-02-13,0.5373
2019-02-12,0.3932
2019-02-11,0.3420
2019-02-08,0.2656
2019-02-07,0.3486
2019-02-06,0.3684
2019-02-05,0.2036
2019-02-04,0.0860
2019-02-01,0.2594
2019-01-31,0.3848
2019-01-30,0.5368
2019-01-29,0.6394
2019-01-28,0.7346
2019-01-25,0.7050
2019-01-24,0.5571
2019-01-23,0.3989
2019-01-22,0.2666
2019-01-18,0.0296
2019-01-17,-0.3455
2019-01-16,-0.5688
2019-01-15,-0.8720
2019-01-14,-0.9663
2019-01-11,-1.0106
2019-01-10,-1.1837
2019-01-09,-1.3905
2019-01-08,-1.6993
2019-01-07,-1.9853
2019-01-04,-2.1790
2019-01-03,-2.1990
2019-01-02,-2.2312
2018-12-31,-2.1838
2018-12-28,-2.2688
2018-12-27,-2.4257
2018-12-26,-2.3066
2018-12-24,-1.6974
2018-12-21,-1.1539
2018-12-20,-0.8455
2018-12-19,-0.5842
2018-12-18,-0.3033
2018-12-17,0.0495
2018-12-14,0.3300
2018-12-13,0.3941
2018-12-12,0.3348
2018-12-11,0.1208
2018-12-10,-0.0431
2018-12-07,0.2575
2018-12-06,0.2728
2018-12-04,0.5491
2018-12-03,0.2707
2018-11-30,-0.1966
2018-11-29,-0.5560
2018-11-28,-0.9690
2018-11-27,-1.2336
2018-11-26,-1.3884
2018-11-23,-1.4150
2018-11-21,-1.1618
2018-11-20,-0.9672
2018-11-19,-0.5215
2018-11-16,-0.6038
2018-11-15,-0.5789
2018-11-14,-0.3259
2018-11-13,-0.3148
2018-11-12,-0.2402
2018-11-09,-0.3319
2018-11-08,-0.5896
2018-11-07,-1.0067
2018-11-06,-1.2842
2018-11-05,-1.4099
2018-11-02,-1.4471
2018-11-01,-1.4846
2018-10-31,-1.5690
2018-10-30,-1.4894
2018-10-29,-1.1855
2018-10-26,-1.2329
2018-10-25,-1.0295
2018-10-24,-0.8426
2018-10-23,-0.7811
2018-10-22,-0.6261
2018-10-19,-0.5770
2018-10-18,-0.4661
2018-10-17,-0.4370
2018-10-16,-0.5544
2018-10-15,-0.4783
2018-10-12,-0.3100
2018-10-11,-0.1009
2018-10-10,0.5401
2018-10-09,0.7507
2018-10-08,1.0188
2018-10-05,1.2932
2018-10-04,1.5258
2018-10-03,1.5990
2018-10-02,1.5866
2018-10-01,1.5600
2018-09-28,1.5593
2018-09-27,1.5928
2018-09-26,1.5523
2018-09-25,1.5096
2018-09-24,1.3995
2018-09-21,1.4188
2018-09-20,1.3241
2018-09-19,1.3591
2018-09-18,1.3055
2018-09-17,1.3058
2018-09-14,1.1344
2018-09-13,0.9327
2018-09-12,0.7880
2018-09-11,0.6621
2018-09-10,0.7493
2018-09-07,0.8559
2018-09-06,1.0416
2018-09-05,1.2614
2018-09-04,1.2426
2018-08-31,1.2168
2018-08-30,1.0812
2018-08-29,0.8939
2018-08-28,0.7661
2018-08-27,0.6437
2018-08-24,0.5464
2018-08-23,0.5771
2018-08-22,0.6608
2018-08-21,0.8905
2018-08-20,1.0617
2018-08-17,1.2047
2018-08-16,1.3850
2018-08-15,1.4992
2018-08-14,1.6039
2018-08-13,1.7071
2018-08-10,1.7446
2018-08-09,1.7489
2018-08-08,1.6994
2018-08-07,1.6502
2018-08-06,1.6417
2018-08-03,1.6519
2018-08-02,1.6734
2018-08-01,1.9209
2018-07-31,2.1447
2018-07-30,2.3523
2018-07-27,2.5119
2018-07-26,2.3745
2018-07-25,2.1076
2018-07-24,2.0198
2018-07-23,1.8158
2018-07-20,1.7602
2018-07-19,1.4823
2018-07-18,1.4268
2018-07-17,1.2323
2018-07-16,1.1016
2018-07-13,0.8384
2018-07-12,0.5950
2018-07-11,0.4387
2018-07-10,0.3977
2018-07-09,0.2530
2018-07-06,0.1008
2018-07-05,0.0844
2018-07-03,0.1013
2018-07-02,0.0217
2018-06-29,0.1620
2018-06-28,0.2543
2018-06-27,0.5262
2018-06-26,0.6416
2018-06-25,0.8570
2018-06-22,0.9992
2018-06-21,1.1245
2018-06-20,1.0985
2018-06-19,1.1212
2018-06-18,1.3089
2018-06-15,1.4928
2018-06-14,1.5531
2018-06-13,1.5932
2018-06-12,1.6141
2018-06-11,1.6804
2018-06-08,1.7132
2018-06-07,1.7583
2018-06-06,1.6317
2018-06-05,1.4637
2018-06-04,1.2769
2018-06-01,1.0951
2018-05-31,1.0489
2018-05-30,0.9736
2018-05-29,0.9631
2018-05-25,0.9836
2018-05-24,0.9485
2018-05-23,0.8468
2018-05-22,0.9097
2018-05-21,0.8780
2018-05-18,0.8941
2018-05-17,1.0023
2018-05-16,1.0496
2018-05-15,1.0335
2018-05-14,1.0102
2018-05-11,0.8965
2018-05-10,0.7506
2018-05-09,0.5880
2018-05-08,0.5196
2018-05-07,0.4415
2018-05-04,0.4042
2018-05-03,0.5390
2018-05-02,0.7400
2018-05-01,0.7789
2018-04-30,0.9986
2018-04-27,0.9468
2018-04-26,0.7375
2018-04-25,0.8721
2018-04-24,1.0567
2018-04-23,0.9773
2018-04-20,0.9125
2018-04-19,0.7997
2018-04-18,0.5900
2018-04-17,0.3362
2018-04-16,0.1315
2018-04-13,-0.0369
2018-04-12,-0.2493
2018-04-11,-0.3517
2018-04-10,-0.4347
2018-04-09,-0.5729
2018-04-06,-0.6036
2018-04-05,-0.6797
2018-04-04,-0.8632
2018-04-03,-0.6181
2018-04-02,-0.4718
2018-03-29,-0.3694
2018-03-28,-0.2038
2018-03-27,0.0472
2018-03-26,-0.1544
2018-03-23,0.0313
2018-03-22,0.3810
2018-03-21,0.6420
2018-03-20,0.7964
2018-03-19,0.9695
2018-03-16,1.1062
2018-03-15,1.1689
2018-03-14,1.3489
2018-03-13,1.3972
2018-03-12,1.2471
2018-03-09,1.0883
2018-03-08,0.9930
2018-03-07,0.9608
2018-03-06,1.0186
2018-03-05,0.9576
2018-03-02,1.0693
2018-03-01,1.2737
2018-02-28,1.2708
2018-02-27,1.1620
2018-02-26,0.9146
2018-02-23,0.7219
2018-02-22,0.6335
2018-02-21,0.5828
2018-02-20,0.4148
2018-02-16,0.3477
2018-02-15,0.1576
2018-02-14,0.0390
2018-02-13,0.1619
2018-02-12,0.2737
2018-02-09,0.4322
2018-02-08,0.8762
2018-02-07,1.0830
2018-02-06,1.2517
2018-02-05,1.8155
2018-02-02,2.1349
2018-02-01,2.1979
2018-01-31,2.1293
2018-01-30,2.1167
2018-01-29,2.1156
2018-01-26,1.8961
2018-01-25,1.7941
2018-01-24,1.7044
2018-01-23,1.5565
2018-01-22,1.4112
2018-01-19,1.3988
2018-01-18,1.3482
2018-01-17,1.2988
2018-01-16,1.2901
2018-01-12,1.1563
2018-01-11,1.1144
2018-01-10,1.0997
2018-01-09,1.0924
2018-01-08,0.9868
2018-01-05,0.8834
2018-01-04,0.7936
2018-01-03,0.7763
2018-01-02,0.7975
2017-12-29,0.8058
2017-12-28,0.8551
2017-12-27,0.8781
2017-12-26,0.9201
2017-12-22,0.9950
2017-12-21,1.0669
2017-12-20,1.0770
2017-12-19,1.0589
2017-12-18,1.0052
2017-12-15,0.8436
2017-12-14,0.8144
2017-12-13,0.7480
2017-12-12,0.6209
2017-12-11,0.4933
2017-12-08,0.4272
2017-12-07,0.4038
2017-12-06,0.4791
2017-12-05,0.6690
2017-12-04,0.9230
2017-12-01,0.9202
2017-11-30,0.9867
2017-11-29,1.0664
2017-11-28,1.0304
2017-11-27,1.0347
2017-11-24,1.1025
2017-11-22,1.2035
2017-11-21,1.2314
2017-11-20,1.3602
2017-11-17,1.5393
2017-11-16,1.6723
2017-11-15,1.8197
2017-11-14,1.9437
2017-11-13,2.0707
2017-11-10,2.1863
2017-11-09,2.2889
2017-11-08,2.3539
2017-11-07,2.3997
2017-11-06,2.3590
2017-11-03,2.3307
2017-11-02,2.2731
2017-11-01,2.2407
2017-10-31,2.1332
2017-10-30,1.8957
2017-10-27,1.6322
2017-10-26,1.2039
2017-10-25,1.1662
2017-10-24,1.1642
2017-10-23,1.1121
2017-10-20,1.0203
2017-10-19,0.9565
2017-10-18,0.9375
2017-10-17,0.8894
2017-10-16,0.8355
2017-10-13,0.7596
2017-10-12,0.6345
2017-10-11,0.5774
2017-10-10,0.5095
2017-10-09,0.4184
2017-10-06,0.3327
2017-10-05,0.2491
2017-10-04,0.1845
2017-10-03,0.2236
2017-10-02,0.2020
2017-09-29,0.1675
2017-09-28,0.1994
2017-09-27,0.2780
2017-09-26,0.3731
2017-09-25,0.4770
2017-09-22,0.5598
2017-09-21,0.6676
2017-09-20,0.6814
2017-09-19,0.6647
2017-09-18,0.6480
2017-09-15,0.6152
2017-09-14,0.6051
2017-09-13,0.5660
2017-09-12,0.5151
2017-09-11,0.4599
2017-09-08,0.4286
2017-09-07,0.3804
2017-09-06,0.3795
2017-09-05,0.3668
2017-09-01,0.3859
2017-08-31,0.2651
2017-08-30,0.1764
2017-08-29,0.1645
2017-08-28,0.2242
2017-08-25,0.2148
2017-08-24,0.2199
2017-08-23,0.2355
2017-08-22,0.2296
2017-08-21,0.2808
2017-08-18,0.3299
2017-08-17,0.4081
2017-08-16,0.3686
2017-08-15,0.3372
2017-08-14,0.2668
2017-08-11,0.2270
2017-08-10,0.3206
2017-08-09,0.4059
2017-08-08,0.4731
2017-08-07,0.5684
2017-08-04,0.6094
2017-08-03,0.6937
2017-08-02,0.8125
2017-08-01,0.9157
2017-07-31,0.9781
2017-07-28,1.0231
2017-07-27,1.1299
2017-07-26,1.1387
2017-07-25,1.0744
2017-07-24,1.0316
2017-07-21,0.9895
2017-07-20,0.9295
2017-07-19,0.7651
2017-07-18,0.6133
2017-07-17,0.4524
2017-07-14,0.2701
2017-07-13,0.0904
2017-07-12,-0.0650
2017-07-11,-0.1798
2017-07-10,-0.2535
2017-07-07,-0.2889
2017-07-06,-0.2524
2017-07-05,-0.1585
2017-07-03,-0.0348
2017-06-30,0.0142
2017-06-29,0.1325
2017-06-28,0.2204
2017-06-27,0.3468
2017-06-26,0.4115
2017-06-23,0.3566
2017-06-22,0.4148
2017-06-21,0.4373
2017-06-20,0.4932
2017-06-19,0.4952
2017-06-16,0.5232
2017-06-15,0.6297
2017-06-14,0.8033
2017-06-13,0.8463
2017-06-12,0.9794
2017-06-09,1.2134
2017-06-08,1.2109
2017-06-07,1.1418
2017-06-06,1.0242
2017-06-05,0.8934
2017-06-02,0.7470
2017-06-01,0.7050
2017-05-31,0.6615
2017-05-30,0.5669
2017-05-26,0.5132
2017-05-25,0.4363
2017-05-24,0.4162
2017-05-23,0.3946
2017-05-22,0.3767
2017-05-19,0.4328
2017-05-18,0.5379
2017-05-17,0.6744
2017-05-16,0.6870
2017-05-15,0.7604
2017-05-12,0.8521
2017-05-11,0.9090
2017-05-10,0.9937
2017-05-09,1.0233
2017-05-08,1.0595
2017-05-05,1.0790
2017-05-04,1.0954
2017-05-03,1.0871
2017-05-02,1.0250
2017-05-01,0.8973
2017-04-28,0.8262
2017-04-27,0.6999
2017-04-26,0.6060
2017-04-25,0.4843
2017-04-24,0.3404
2017-04-21,0.1945
2017-04-20,0.1897
2017-04-19,0.2023
2017-04-18,0.1960
2017-04-17,0.2177
2017-04-13,0.2718
2017-04-12,0.3114
2017-04-11,0.3441
2017-04-10,0.3627
2017-04-07,0.3800
2017-04-06,0.3722
2017-04-05,0.3822
2017-04-04,0.3182
2017-04-03,0.3245
2017-03-31,0.2850
2017-03-30,0.2469
2017-03-29,0.2180
2017-03-28,0.2084
2017-03-27,0.2095
2017-03-24,0.2415
2017-03-23,0.2045
2017-03-22,0.1970
2017-03-21,0.2680
2017-03-20,0.2459
2017-03-17,0.2426
2017-03-16,0.2348
2017-03-15,0.2378
2017-03-14,0.2585
2017-03-13,0.2831
2017-03-10,0.2616
2017-03-09,0.2202
2017-03-08,0.1560
2017-03-07,0.1664
2017-03-06,0.1845
2017-03-03,0.2273
2017-03-02,0.2765
2017-03-01,0.2640
2017-02-28,0.3013
2017-02-27,0.3496
2017-02-24,0.3593
2017-02-23,0.3675
2017-02-22,0.3838
2017-02-21,0.4082
2017-02-17,0.4048
2017-02-16,0.4090
2017-02-15,0.3808
2017-02-14,0.3638
2017-02-13,0.3459
2017-02-10,0.3353
2017-02-09,0.3159
2017-02-08,0.3609
2017-02-07,0.4080
2017-02-06,0.4449
2017-02-03,0.5099
2017-02-02,0.5855
2017-02-01,0.6988
2017-01-31,0.7209
2017-01-30,0.6871
2017-01-27,0.5496
2017-01-26,0.3965
2017-01-25,0.3247
2017-01-24,0.2456
2017-01-23,0.2175
2017-01-20,0.2293
2017-01-19,0.2441
2017-01-18,0.3033
2017-01-17,0.3306
2017-01-13,0.3596
2017-01-12,0.3975
2017-01-11,0.3953
2017-01-10,0.4326
2017-01-09,0.4616
2017-01-06,0.4889
2017-01-05,0.5635
2017-01-04,0.6618
2017-01-03,0.7480
2016-12-30,0.8155
2016-12-29,0.8726
2016-12-28,0.9430
2016-12-27,0.9641
2016-12-23,0.9964
2016-12-22,0.9986
2016-12-21,0.9473
2016-12-20,0.9097
2016-12-19,0.8220
2016-12-16,0.8132
2016-12-15,0.7504
2016-12-14,0.6848
2016-12-13,0.5606
2016-12-12,0.4447
2016-12-09,0.3597
2016-12-08,0.3111
2016-12-07,0.2323
2016-12-06,0.2596
2016-12-05,0.2480
2016-12-02,0.3040
2016-12-01,0.4340
2016-11-30,0.4889
2016-11-29,0.4754
2016-11-28,0.4727
2016-11-25,0.4939
2016-11-23,0.5178
2016-11-22,0.4686
2016-11-21,0.4019
2016-11-18,0.3599
2016-11-17,0.2725
2016-11-16,0.1947
2016-11-15,0.2423
2016-11-14,0.3615
2016-11-11,0.4382
2016-11-10,0.6101
2016-11-09,0.5916
2016-11-08,0.6083
2016-11-07,0.5647
2016-11-04,0.5792
2016-11-03,0.7044
2016-11-02,0.7644
2016-11-01,0.8002
2016-10-31,0.8191
2016-10-28,0.8119
2016-10-27,0.8062
2016-10-26,0.7261
2016-10-25,0.5929
2016-10-24,0.4102
2016-10-21,0.2638
2016-10-20,0.0384
2016-10-19,0.0332
2016-10-18,0.0291
2016-10-17,0.0174
2016-10-14,0.0195
2016-10-13,0.0463
2016-10-12,0.1227
2016-10-11,0.1766
2016-10-10,0.1634
2016-10-07,0.1422
2016-10-06,0.1191
2016-10-05,0.0992
2016-10-04,0.1181
2016-10-03,0.1425
2016-09-30,0.1579
2016-09-29,0.1584
2016-09-28,0.1324
2016-09-27,0.0901
2016-09-26,0.1315
2016-09-23,0.1672
2016-09-22,0.1298
2016-09-21,0.0752
2016-09-20,0.0461
2016-09-19,0.0246
2016-09-16,0.0050
2016-09-15,-0.0568
2016-09-14,0.0158
2016-09-13,0.0839
2016-09-12,0.1583
2016-09-09,0.3019
2016-09-08,0.4004
2016-09-07,0.4347
2016-09-06,0.4885
2016-09-02,0.5185
2016-09-01,0.5605
2016-08-31,0.6731
2016-08-30,0.7418
2016-08-29,0.7851
2016-08-26,0.8087
2016-08-25,0.8168
2016-08-24,0.8560
2016-08-23,0.9017
2016-08-22,0.9367
2016-08-19,0.9984
2016-08-18,1.0798
2016-08-17,1.1691
2016-08-16,1.2539
2016-08-15,1.3367
2016-08-12,1.3822
2016-08-11,1.4182
2016-08-10,1.4435
2016-08-09,1.4416
2016-08-08,1.4171
2016-08-05,1.3769
2016-08-04,1.3469
2016-08-03,1.3755
2016-08-02,1.4043
2016-08-01,1.4032
2016-07-29,1.4070
2016-07-28,1.4258
2016-07-27,1.4557
2016-07-26,1.4105
2016-07-25,1.3415
2016-07-22,1.2389
2016-07-21,1.1297
2016-07-20,0.9841
2016-07-19,0.7667
2016-07-18,0.7264
2016-07-15,0.6654
2016-07-14,0.5525
2016-07-13,0.4114
2016-07-12,0.2540
2016-07-11,0.1125
2016-07-08,-0.0250
2016-07-07,-0.1217
2016-07-06,-0.2118
2016-07-05,-0.2586
2016-07-01,-0.3196
2016-06-30,-0.4234
2016-06-29,-0.5079
2016-06-28,-0.5260
2016-06-27,-0.4406
2016-06-24,-0.3435
2016-06-23,-0.2868
2016-06-22,-0.3600
2016-06-21,-0.4279
2016-06-20,-0.4187
2016-06-17,-0.4456
2016-06-16,-0.4501
2016-06-15,-0.3586
2016-06-14,-0.2631
2016-06-13,-0.1497
2016-06-10,0.0299
2016-06-09,0.1090
2016-06-08,0.1116
2016-06-07,0.1114
2016-06-06,0.0870
2016-06-03,0.0801
2016-06-02,0.0303
2016-06-01,-0.0600
2016-05-31,-0.1541
2016-05-27,-0.2537
2016-05-26,-0.3424
2016-05-25,-0.4518
2016-05-24,-0.5837
2016-05-23,-0.6194
2016-05-20,-0.6458
2016-05-19,-0.6578
2016-05-18,-0.6626
2016-05-17,-0.6601
2016-05-16,-0.7735
2016-05-13,-0.8134
2016-05-12,-0.9177
2016-05-11,-1.0129
2016-05-10,-1.1126
2016-05-09,-1.1423
2016-05-06,-1.1798
2016-05-05,-1.1525
2016-05-04,-1.0958
2016-05-03,-1.0044
2016-05-02,-0.9240
2016-04-29,-0.7734
2016-04-28,-0.5037
2016-04-27,-0.2815
2016-04-26,-0.0814
2016-04-25,0.0959
2016-04-22,0.3696
2016-04-21,0.7003
2016-04-20,0.7162
2016-04-19,0.6761
2016-04-18,0.5805
2016-04-15,0.5662
2016-04-14,0.5589
2016-04-13,0.5497
2016-04-12,0.5402
2016-04-11,0.5965
2016-04-08,0.6474
2016-04-07,0.6847
2016-04-06,0.7020
2016-04-05,0.7658
2016-04-04,0.7516
2016-04-01,0.6980
2016-03-31,0.6582
2016-03-30,0.6081
2016-03-29,0.5372
2016-03-28,0.5682
2016-03-24,0.5436
2016-03-23,0.5419
2016-03-22,0.5044
2016-03-21,0.5001
2016-03-18,0.5239
2016-03-17,0.3767
2016-03-16,0.2557
2016-03-15,0.1748
2016-03-14,0.1403
2016-03-11,0.0983
2016-03-10,0.0138
2016-03-09,-0.0872
2016-03-08,-0.1089
2016-03-07,-0.0241
2016-03-04,0.0072
2016-03-03,-0.0385
2016-03-02,-0.1544
2016-03-01,-0.2430
2016-02-29,-0.2060
2016-02-26,-0.1944
2016-02-25,-0.3040
2016-02-24,-0.3509
2016-02-23,-0.2998
2016-02-22,-0.3983
2016-02-19,-0.5120
2016-02-18,-0.6182
2016-02-17,-0.7813
2016-02-16,-0.8927
2016-02-12,-0.9617
2016-02-11,-0.9697
2016-02-10,-0.8060
